Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2013","2013","ha","312000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2014","2014","ha","313040","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2015","2015","ha","319000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2016","2016","ha","277000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2017","2017","ha","305000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2018","2018","ha","301000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2019","2019","ha","308000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1990","1990","ha","2000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1991","1991","ha","2100","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1992","1992","ha","2200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1993","1993","ha","2300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1994","1994","ha","2400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1995","1995","ha","2519","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1996","1996","ha","2727","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1997","1997","ha","2805","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1998","1998","ha","2919","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1999","1999","ha","3279","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2000","2000","ha","3466","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2001","2001","ha","3514","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2002","2002","ha","3603","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2003","2003","ha","3727","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2004","2004","ha","3868","Im","FAO data based on imputation methodology"
