Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2014","2014","tonnes","2497680","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2015","2015","tonnes","2134000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2016","2016","tonnes","2521000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2017","2017","tonnes","2265000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2018","2018","tonnes","2327000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2019","2019","tonnes","2316000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1990","1990","tonnes","6000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1991","1991","tonnes","6200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1992","1992","tonnes","6500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1993","1993","tonnes","6800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1994","1994","tonnes","7000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1995","1995","tonnes","7300","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1996","1996","tonnes","7900","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1997","1997","tonnes","8100","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1998","1998","tonnes","8400","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1999","1999","tonnes","9400","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2000","2000","tonnes","9900","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2001","2001","tonnes","10000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2002","2002","tonnes","10216","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2003","2003","tonnes","10530","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2004","2004","tonnes","10908","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2005","2005","tonnes","11332","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2006","2006","tonnes","11847","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2007","2007","tonnes","12317","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2008","2008","tonnes","12889","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2009","2009","tonnes","13292","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2010","2010","tonnes","13645","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2011","2011","tonnes","13929","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2012","2012","tonnes","14149","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2013","2013","tonnes","14155","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2014","2014","tonnes","14116","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2015","2015","tonnes","14186","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2016","2016","tonnes","15280","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2017","2017","tonnes","15541","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2018","2018","tonnes","15843","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2019","2019","tonnes","16145","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","226","Areca nuts","1990","1990","tonnes","251300","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","226","Areca nuts","1991","1991","tonnes","238500","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","226","Areca nuts","1992","1992","tonnes","243200","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","226","Areca nuts","1993","1993","tonnes","256300","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","226","Areca nuts","1994","1994","tonnes","271100","","Official data"
