Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2005","2005","hg/ha","11082","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2006","2006","hg/ha","11357","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2007","2007","hg/ha","11950","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2008","2008","hg/ha","13200","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2009","2009","hg/ha","10965","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2010","2010","hg/ha","12230","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2011","2011","hg/ha","12714","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2012","2012","hg/ha","12989","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2013","2013","hg/ha","10800","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2014","2014","hg/ha","11767","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2015","2015","hg/ha","12161","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2016","2016","hg/ha","12053","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2017","2017","hg/ha","12105","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2018","2018","hg/ha","12158","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","782","Bastfibres, other","2019","2019","hg/ha","12210","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","176","Beans, dry","1990","1990","hg/ha","4172","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","176","Beans, dry","1991","1991","hg/ha","3645","Fc","Calculated data"
