Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","356","India","2007","2007","23014","Food price inflation","7003","March","%","6.60381","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2008","2008","23014","Food price inflation","7003","March","%","6.790256","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2009","2009","23014","Food price inflation","7003","March","%","7.666971","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2010","2010","23014","Food price inflation","7003","March","%","6.791056","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2011","2011","23014","Food price inflation","7003","March","%","-1.739524","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2012","2012","23014","Food price inflation","7003","March","%","7.674944","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2013","2013","23014","Food price inflation","7003","March","%","12.054507","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2014","2014","23014","Food price inflation","7003","March","%","8.606174","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2015","2015","23014","Food price inflation","7003","March","%","6.287683","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2016","2016","23014","Food price inflation","7003","March","%","5.186386","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2017","2017","23014","Food price inflation","7003","March","%","2.542373","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2018","2018","23014","Food price inflation","7003","March","%","3.080391","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2019","2019","23014","Food price inflation","7003","March","%","0.655977","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2000","2000","23014","Food price inflation","7004","April","","","","",""
"CP","Consumer Price Indices","356","India","2001","2001","23014","Food price inflation","7004","April","%","6.325925","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2002","2002","23014","Food price inflation","7004","April","%","5.733286","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2003","2003","23014","Food price inflation","7004","April","%","4.578277","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2004","2004","23014","Food price inflation","7004","April","%","4.869381","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2005","2005","23014","Food price inflation","7004","April","%","5.489545","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2006","2006","23014","Food price inflation","7004","April","%","6.975371","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2007","2007","23014","Food price inflation","7004","April","%","7.147395","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2008","2008","23014","Food price inflation","7004","April","%","8.043322","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2009","2009","23014","Food price inflation","7004","April","%","7.099595","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2010","2010","23014","Food price inflation","7004","April","%","5.17133","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2011","2011","23014","Food price inflation","7004","April","%","-2.277893","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2012","2012","23014","Food price inflation","7004","April","%","9.561305","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2013","2013","23014","Food price inflation","7004","April","%","10.574949","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2014","2014","23014","Food price inflation","7004","April","%","9.192201","Fc","Calculated data",""
