CropItem,Year,Yield(hg/ha),Nutrients(tonnes),SyntheticFert(tonnes),Pesticides(tonnes),Temp_ann_degC,LandUsed,LandIrrigated
Watermelons,1997,131579.0,202349,190783,653,24.1,2262,700.0
Watermelons,1998,130540.0,209968,198690,614,24.76,2260,718.0
Watermelons,1999,130551.0,225709,202759,577,24.67,2262,736.0
Watermelons,2000,127500.0,208778,191103,561,24.6,2262,755.0
Watermelons,2001,130941.0,216803,197928,546,24.73,2256,773.0
Watermelons,2002,131482.0,201199,183211,531,25.0,2257,782.0
Watermelons,2003,132052.0,210090,193862,515,24.72,2253,790.0
Watermelons,2004,132593.0,230083,204972,438,24.74,2254,799.0
Watermelons,2005,134104.0,254342,222668,441,24.58,2251,808.0
Watermelons,2006,134889.0,270526,240815,467,25.06,2248,815.0
Watermelons,2007,135694.0,282138,252309,342,24.77,2245,822.0
Watermelons,2008,136492.0,302855,260116,181,24.61,2246,829.0
Watermelons,2009,137290.0,330569,272271,358,25.11,2250,846.0
Watermelons,2010,138070.0,351378,287886,501,25.13,2244,846.0
Watermelons,2011,213131.0,354671,303931,694,24.67,2245,847.0
Watermelons,2012,243239.0,319201,294365,662,24.69,2245,869.0
Watermelons,2013,220864.0,306031,293126,570,24.82,2246,871.0
Watermelons,2014,241333.0,319767,296618,703,24.73,2246,873.0
Watermelons,2015,241011.0,334407,304015,709,24.91,2245,875.0
Watermelons,2016,244737.0,324363,292869,732,26.45,2244,877.0
Watermelons,2017,239780.0,332386,296765,792,26.29,2244,880.0
Watermelons,2018,249505.0,342190,308493,745,25.9,2244,880.0
Watermelons,2019,249500.0,362120,299376,771,25.86,2244,880.0
Wheat,1990,21211.0,150225,132396,937,24.21,2267,618.0
Wheat,1991,22814.0,159101,140809,901,24.28,2269,621.0
Wheat,1992,23940.0,151930,147467,884,24.15,2266,623.0
Wheat,1993,23267.0,154815,153630,829,24.43,2267,626.0
Wheat,1994,23796.0,169545,166375,766,24.46,2266,644.0
Wheat,1995,25590.0,173452,171899,765,25.29,2261,663.0
Wheat,1996,24828.0,179225,180528,701,24.55,2257,681.0
Wheat,1997,26789.0,202349,190783,653,24.1,2262,700.0
Wheat,1998,24852.0,209968,198690,614,24.76,2260,718.0
Wheat,1999,25901.0,225709,202759,577,24.67,2262,736.0
Wheat,2000,27785.0,208778,191103,561,24.6,2262,755.0
Wheat,2001,27081.0,216803,197928,546,24.73,2256,773.0
Wheat,2002,27621.0,201199,183211,531,25.0,2257,782.0
Wheat,2003,26100.0,210090,193862,515,24.72,2253,790.0
Wheat,2004,27132.0,230083,204972,438,24.74,2254,799.0
Wheat,2005,26016.0,254342,222668,441,24.58,2251,808.0
Wheat,2006,26188.0,270526,240815,467,25.06,2248,815.0
Wheat,2007,27079.0,282138,252309,342,24.77,2245,822.0
Wheat,2008,28022.0,302855,260116,181,24.61,2246,829.0
Wheat,2009,29071.0,330569,272271,358,25.11,2250,846.0
Wheat,2010,28395.0,351378,287886,501,25.13,2244,846.0
Wheat,2011,29886.0,354671,303931,694,24.67,2245,847.0
Wheat,2012,31775.0,319201,294365,662,24.69,2245,869.0
Wheat,2013,31538.0,306031,293126,570,24.82,2246,871.0
Wheat,2014,31457.0,319767,296618,703,24.73,2246,873.0
Wheat,2015,27496.0,334407,304015,709,24.91,2245,875.0
Wheat,2016,30339.0,324363,292869,732,26.45,2244,877.0
Wheat,2017,31999.0,332386,296765,792,26.29,2244,880.0
Wheat,2018,33682.0,342190,308493,745,25.9,2244,880.0
Wheat,2019,35334.0,362120,299376,771,25.86,2244,880.0
