Year,LandUsed
1990,181413
1991,181586
1992,181305
1993,181382
1994,181291
1995,180945
1996,180589
1997,180981
1998,180874
1999,181021
2000,180975
2001,180487
2002,180560
2003,180249
2004,180375
2005,180126
2006,179906
2007,179620
2008,179757
2009,180068
2010,179573
2011,179670
2012,179642
2013,179698
2014,179728
2015,179675
2016,179578
2017,179578
2018,179578
2019,179578
