CropItem,Year,AreaHarvested(ha)
"Bastfibres, other",2018,64243.0
"Bastfibres, other",2019,58939.0
"Beans, dry",1990,9790700.0
"Beans, dry",1991,9682000.0
"Beans, dry",1992,8745000.0
"Beans, dry",1993,8542000.0
"Beans, dry",1994,8361000.0
"Beans, dry",1995,7833700.0
"Beans, dry",1996,8416400.0
"Beans, dry",1997,8418400.0
"Beans, dry",1998,7394000.0
"Beans, dry",1999,5970300.0
"Beans, dry",2000,5845200.0
"Beans, dry",2001,6019700.0
"Beans, dry",2002,7851300.0
"Beans, dry",2003,9274600.0
"Beans, dry",2004,8782800.0
"Beans, dry",2005,8047000.0
"Beans, dry",2006,8549300.0
"Beans, dry",2007,10000000.0
"Beans, dry",2008,8000000.0
"Beans, dry",2009,6000000.0
"Beans, dry",2010,11000000.0
"Beans, dry",2011,11000000.0
"Beans, dry",2012,9100000.0
"Beans, dry",2013,9100000.0
"Beans, dry",2014,10000000.0
"Beans, dry",2015,10289384.0
"Beans, dry",2016,14191848.0
"Beans, dry",2017,15213726.0
"Beans, dry",2018,14895604.0
"Beans, dry",2019,12690696.0
"Beans, green",1990,134666.0
"Beans, green",1991,143000.0
"Beans, green",1992,143728.0
"Beans, green",1993,144000.0
"Beans, green",1994,145000.0
"Beans, green",1995,145209.0
"Beans, green",1996,148000.0
"Beans, green",1997,149392.0
"Beans, green",1998,150000.0
"Beans, green",1999,152191.0
"Beans, green",2000,152838.0
"Beans, green",2001,156891.0
"Beans, green",2002,160155.0
"Beans, green",2003,163574.0
"Beans, green",2004,167605.0
"Beans, green",2005,181585.0
"Beans, green",2006,187359.0
"Beans, green",2007,192986.0
"Beans, green",2008,198708.0
"Beans, green",2009,204293.0
"Beans, green",2010,209662.0
"Beans, green",2011,214763.0
"Beans, green",2012,220000.0
"Beans, green",2013,220000.0
"Beans, green",2014,222967.0
"Beans, green",2015,234199.0
"Beans, green",2016,240317.0
"Beans, green",2017,245648.0
"Beans, green",2018,250966.0
"Beans, green",2019,256271.0
Berries nes,1990,280.0
Berries nes,1991,213.0
Berries nes,1992,217.0
Berries nes,1993,221.0
Berries nes,1994,225.0
Berries nes,1995,229.0
Berries nes,1996,232.0
Berries nes,1997,236.0
Berries nes,1998,240.0
Berries nes,1999,244.0
Berries nes,2000,248.0
Berries nes,2001,252.0
Berries nes,2002,256.0
Berries nes,2003,260.0
Berries nes,2004,263.0
Berries nes,2005,267.0
Berries nes,2006,271.0
Berries nes,2007,253.0
Berries nes,2008,280.0
Berries nes,2009,285.0
Berries nes,2010,289.0
Berries nes,2011,292.0
Berries nes,2012,300.0
Berries nes,2013,300.0
Berries nes,2014,300.0
Berries nes,2015,306.0
Berries nes,2016,313.0
Berries nes,2017,317.0
Berries nes,2018,320.0
Berries nes,2019,324.0
Cabbages and other brassicas,1990,167896.0
Cabbages and other brassicas,1991,178353.0
Cabbages and other brassicas,1992,215865.0
Cabbages and other brassicas,1993,230000.0
Cabbages and other brassicas,1994,220000.0
Cabbages and other brassicas,1995,222500.0
Cabbages and other brassicas,1996,225000.0
Cabbages and other brassicas,1997,227500.0
Cabbages and other brassicas,1998,230000.0
Cabbages and other brassicas,1999,240000.0
Cabbages and other brassicas,2000,258300.0
Cabbages and other brassicas,2001,245400.0
Cabbages and other brassicas,2002,258100.0
Cabbages and other brassicas,2003,233800.0
Cabbages and other brassicas,2004,255100.0
Cabbages and other brassicas,2005,287800.0
Cabbages and other brassicas,2006,253500.0
Cabbages and other brassicas,2007,249000.0
Cabbages and other brassicas,2008,266000.0
Cabbages and other brassicas,2009,310200.0
Cabbages and other brassicas,2010,300500.0
Cabbages and other brassicas,2011,369000.0
Cabbages and other brassicas,2012,390000.0
Cabbages and other brassicas,2013,372000.0
Cabbages and other brassicas,2014,400140.0
Cabbages and other brassicas,2015,386000.0
Cabbages and other brassicas,2016,394000.0
Cabbages and other brassicas,2017,395000.0
Cabbages and other brassicas,2018,399000.0
Cabbages and other brassicas,2019,400000.0
Carrots and turnips,1990,20000.0
Carrots and turnips,1991,20124.0
